scenario_id,junction_id,simulation_time_s,queue_length_m,vehicle_count,avg_speed_kmh,queue_minus_5,queue_minus_10,queue_minus_15,queue_minus_20,queue_slope,target_queue_60s,predicted,naive_pred
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,16.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.363607,0.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,21.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.363607,0.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,26.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.363607,0.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,31.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.363607,0.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,36.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.363607,0.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,41.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.363607,0.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,46.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.363607,0.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,51.0,5.0,1,0.0296457820173459,0.0,0.0,0.0,0.0,0.0,10.0,5.4441495,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,56.0,5.0,1,0.0,5.0,0.0,0.0,0.0,0.0,15.0,4.31049,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,61.0,5.0,1,0.0,5.0,5.0,0.0,0.0,0.0,15.0,4.31049,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,66.0,5.0,1,0.0,5.0,5.0,5.0,0.0,0.0,15.0,4.31049,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,71.0,5.0,1,0.0,5.0,5.0,5.0,5.0,0.0,15.0,5.867684,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,76.0,5.0,1,0.0,5.0,5.0,5.0,5.0,0.0,0.0,5.867684,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,81.0,5.0,1,0.0,5.0,5.0,5.0,5.0,0.0,0.0,5.867684,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,86.0,5.0,1,0.0,5.0,5.0,5.0,5.0,0.0,0.0,5.867684,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,91.0,0.0,1,1.1900022906988217,5.0,5.0,5.0,5.0,0.0,0.0,5.96277,0.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,96.0,5.0,1,0.0,0.0,5.0,5.0,5.0,0.0,5.0,5.867684,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,101.0,5.0,1,0.0,5.0,0.0,5.0,5.0,0.0,5.0,5.867684,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,106.0,5.0,1,0.0,5.0,5.0,0.0,5.0,0.0,5.0,5.867684,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,111.0,10.0,2,0.0767441658539912,5.0,5.0,5.0,0.0,0.5,5.0,5.958828,10.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,116.0,15.0,3,0.0275185299198884,10.0,5.0,5.0,5.0,0.5,10.0,10.402369,15.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,121.0,15.0,3,0.0002383042081016,15.0,10.0,5.0,5.0,0.5,0.0,9.469972,15.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,126.0,15.0,3,0.0,15.0,15.0,10.0,5.0,0.5,0.0,9.6511,15.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,131.0,15.0,3,0.0,15.0,15.0,15.0,10.0,0.25,5.0,9.287345,15.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,136.0,0.0,0,0.0,15.0,15.0,15.0,15.0,-0.75,5.0,6.40043,0.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,141.0,0.0,0,0.0,0.0,15.0,15.0,15.0,-0.75,5.0,7.4257255,0.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,146.0,0.0,0,0.0,0.0,0.0,15.0,15.0,-0.75,5.0,6.7851744,0.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,151.0,0.0,1,0.5986556983864046,0.0,0.0,0.0,15.0,-0.75,5.0,7.540388,0.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,156.0,5.0,1,0.0014133563895927,0.0,0.0,0.0,0.0,0.25,10.0,4.601558,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,161.0,5.0,1,0.0,5.0,0.0,0.0,0.0,0.25,10.0,4.31049,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,166.0,5.0,1,0.0,5.0,5.0,0.0,0.0,0.25,0.0,4.31049,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,171.0,5.0,1,0.0,5.0,5.0,5.0,0.0,0.25,5.0,4.31049,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,176.0,10.0,2,0.0275230669450972,5.0,5.0,5.0,5.0,0.25,5.0,6.9738283,10.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,181.0,0.0,0,0.0,10.0,5.0,5.0,5.0,-0.25,5.0,5.3519025,0.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,186.0,0.0,0,0.0,0.0,10.0,5.0,5.0,-0.25,5.0,6.3771977,0.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,191.0,5.0,1,0.0457912936104473,0.0,0.0,10.0,5.0,0.0,5.0,6.45915,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,196.0,5.0,2,30.27690157005553,5.0,0.0,0.0,10.0,-0.25,10.0,19.760035,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,201.0,5.0,1,0.0,5.0,5.0,0.0,0.0,0.25,15.0,4.31049,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,206.0,5.0,1,0.0,5.0,5.0,5.0,0.0,0.25,15.0,4.31049,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,211.0,5.0,2,0.28694277989032,5.0,5.0,5.0,5.0,0.0,0.0,6.772884,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,216.0,10.0,2,0.0,5.0,5.0,5.0,5.0,0.25,0.0,6.3823624,10.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,221.0,10.0,2,0.0,10.0,5.0,5.0,5.0,0.25,0.0,6.3823624,10.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,226.0,0.0,3,5.283505452905775,10.0,10.0,5.0,5.0,-0.25,0.0,17.852097,0.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,231.0,5.0,1,0.0275417655706041,0.0,10.0,10.0,5.0,0.0,0.0,6.45915,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,236.0,5.0,1,0.0,5.0,0.0,10.0,10.0,-0.25,5.0,7.406266,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,241.0,5.0,1,0.0,5.0,5.0,0.0,10.0,-0.25,5.0,7.406266,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,246.0,5.0,1,0.0,5.0,5.0,5.0,0.0,0.25,5.0,4.31049,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,251.0,5.0,1,0.0,5.0,5.0,5.0,5.0,0.0,10.0,5.867684,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,256.0,10.0,2,0.0300398238860043,5.0,5.0,5.0,5.0,0.25,5.0,6.9738283,10.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,261.0,15.0,3,0.0585219631140209,10.0,5.0,5.0,5.0,0.5,5.0,10.402369,15.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,266.0,15.0,3,0.0001369248079012,15.0,10.0,5.0,5.0,0.5,10.0,9.469972,15.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,271.0,0.0,1,1.9059441690333188,15.0,15.0,10.0,5.0,-0.25,10.0,7.0301876,0.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,276.0,0.0,1,11.02198981093831,0.0,15.0,15.0,10.0,-0.5,10.0,10.373347,0.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,281.0,0.0,0,0.0,0.0,0.0,15.0,15.0,-0.75,15.0,6.7851744,0.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,286.0,0.0,0,0.0,0.0,0.0,0.0,15.0,-0.75,25.0,6.7851744,0.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,291.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.363607,0.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,296.0,5.0,1,0.0018587848830598,0.0,0.0,0.0,0.0,0.25,25.0,5.3307853,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,301.0,5.0,2,30.12074646834288,5.0,0.0,0.0,0.0,0.25,10.0,13.094357,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,306.0,5.0,1,0.0,5.0,5.0,0.0,0.0,0.25,5.0,4.31049,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,311.0,10.0,3,14.17691715394918,5.0,5.0,5.0,0.0,0.5,10.0,13.152664,10.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,316.0,5.0,1,0.0414386829100902,10.0,5.0,5.0,5.0,0.0,10.0,6.45915,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,321.0,5.0,2,1.126649543559325,5.0,10.0,5.0,5.0,0.0,10.0,6.5194488,5.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,326.0,10.0,3,8.591135377302146,5.0,5.0,10.0,5.0,0.25,10.0,10.712668,10.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,331.0,10.0,2,0.0,10.0,5.0,5.0,10.0,0.0,10.0,6.464632,10.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,336.0,10.0,3,0.128662046087928,10.0,10.0,5.0,5.0,0.25,10.0,9.706436,10.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,341.0,15.0,3,0.0001273822425023,10.0,10.0,10.0,5.0,0.5,10.0,9.010549,15.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,346.0,25.0,5,0.0207972833002821,15.0,10.0,10.0,10.0,0.75,5.0,10.61277,25.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,351.0,25.0,5,0.0001048406620898,25.0,15.0,10.0,10.0,0.75,10.0,7.873611,25.0
TEST_combined_extreme_hetero_14413,cluster_13546492148_1838721956,356.0,25.0,5,0.0,25.0,25.0,15.0,10.0,0.75,10.0,11.907052,25.0
